Sub Avg,Takedown Def,Takedown Acc,Takedown Avg,Striking Def,Sapm,Striking Acc,Slpm,Dob,Stance,Reach,Weight,Height,Win Loss Record,Link,Nick Name,Name
1.2,40%,0%,0.00,60%,1.88,44%,1.56,"Mar 17, 1988",Southpaw,"73""",155 lbs.,"6' 0""",Record: 9-2-0,http://ufcstats.com/fighter-details/b5f44dcb863f595b,,Luke Flores
0.0,0%,9%,1.00,25%,7.80,37%,2.00,"Dec 22, 1993",Switch,"73""",205 lbs.,"6' 3""",Record: 7-3-0,http://ufcstats.com/fighter-details/4bb0f74d5e26f89a,Big Medicine,Ty Flores
0.0,0%,0%,0.00,54%,2.02,40%,3.66,"Aug 06, 1991",Orthodox,"73""",145 lbs.,"5' 10""",Record: 17-3-0,http://ufcstats.com/fighter-details/d23d5960ac5e117c,El Gallito,Alejandro Flores
1.3,60%,33%,2.22,63%,1.85,40%,2.41,"May 26, 1976",Southpaw,"74""",145 lbs.,"5' 10""",Record: 14-6-0,http://ufcstats.com/fighter-details/cb139171ed1b69fe,KenFlo,Kenny Florian
0.0,100%,0%,0.00,33%,1.64,100%,0.82,"Aug 25, 1994",Orthodox,"71""",170 lbs.,"5' 9""",Record: 12-5-1,http://ufcstats.com/fighter-details/65db4065e2bc107d,Beast Mode,Darrius Flowers
0.0,0%,0%,0.00,0%,0.00,0%,0.00,"Jul 18, 1988",,--,--,--,Record: 2-0-0,http://ufcstats.com/fighter-details/8164250600b7c91b,,Cody Floyd
0.0,0%,0%,0.00,0%,0.77,25%,0.38,--,,--,170 lbs.,--,Record: 6-4-0,http://ufcstats.com/fighter-details/c97fc5fbf7d32b8a,,Bobby Flynn
0.0,50%,25%,2.10,54%,2.83,54%,2.76,"Jan 07, 1984",Orthodox,"74""",155 lbs.,"5' 9""",Record: 11-6-0,http://ufcstats.com/fighter-details/01d2ed8c502e3828,The Future,Caros Fodor
0.0,0%,0%,0.00,54%,14.29,14%,2.86,--,Orthodox,--,220 lbs.,"5' 7""",Record: 5-5-0,http://ufcstats.com/fighter-details/fa534853eb195270,Twin Tiger,Mal Foki
0.0,0%,0%,0.00,56%,3.37,0%,0.00,--,Orthodox,--,220 lbs.,"5' 7""",Record: 5-4-0 (1 NC),http://ufcstats.com/fighter-details/5de61b03868035ff,Twin Tiger,Matt Foki
0.0,0%,0%,0.00,0%,0.00,0%,0.00,--,,--,145 lbs.,"5' 4""",Record: 5-4-0,http://ufcstats.com/fighter-details/0adf1aacda5e26ac,,AJ Fonseca
0.4,55%,37%,1.03,57%,3.95,46%,6.38,"Jun 25, 1987",Orthodox,"71""",135 lbs.,"5' 8""",Record: 19-6-0,http://ufcstats.com/fighter-details/05339613bf8e9808,,Rob Font
0.0,0%,0%,0.00,28%,10.25,42%,2.62,--,Orthodox,--,185 lbs.,"5' 5""",Record: 10-15-1,http://ufcstats.com/fighter-details/7a82635ffa9b59fe,,Claudionor Fontinelle
1.2,66%,75%,1.79,53%,4.06,24%,2.11,"Oct 24, 1984",Southpaw,"75""",185 lbs.,"6' 2""",Record: 15-5-0,http://ufcstats.com/fighter-details/947eccadb72f4f6f,Kid Hercules,Jesse Forbes
0.0,0%,0%,0.00,0%,0.00,0%,0.00,"Mar 12, 1986",,--,155 lbs.,"5' 10""",Record: 15-7-0,http://ufcstats.com/fighter-details/a71ce6ff0b4a9dbb,,Sterling Ford
0.0,0%,0%,0.00,0%,0.00,0%,0.00,"May 13, 1979",,--,170 lbs.,"5' 9""",Record: 11-9-0,http://ufcstats.com/fighter-details/5340123d826ceadb,Crunch Time,Codale Ford
0.6,87%,35%,1.82,64%,2.34,39%,1.42,"Apr 14, 1985",Orthodox,"67""",125 lbs.,"5' 5""",Record: 23-8-0,http://ufcstats.com/fighter-details/b102c26727306ab6,,Jussier Formiga
0.0,66%,58%,2.32,63%,2.12,32%,2.08,"Mar 27, 1987",Orthodox,"71""",155 lbs.,"5' 7""",Record: 8-4-0,http://ufcstats.com/fighter-details/44bc27bfa76dcd9e,,Renee Forte
0.0,66%,45%,2.50,57%,3.23,41%,3.53,"Aug 04, 1993",Southpaw,"62""",115 lbs.,"5' 0""",Record: 9-3-0,http://ufcstats.com/fighter-details/b53c46f613f6f248,The Bull,Brianna Fortino
0.5,75%,8%,0.45,64%,4.52,46%,3.83,"Oct 22, 1985",Orthodox,"74""",205 lbs.,"6' 1""",Record: 9-3-0,http://ufcstats.com/fighter-details/d761b3766e38c5db,,Marcel Fortuna
1.8,37%,60%,3.67,65%,1.63,39%,3.30,"Apr 03, 1984",Orthodox,"71""",170 lbs.,"5' 9""",Record: 27-10-0,http://ufcstats.com/fighter-details/3dc3022232b79c7a,The Foster Boy,Brian Foster
0.0,16%,0%,0.00,49%,2.50,43%,1.47,"Jul 03, 1982",Open Stance,--,185 lbs.,"6' 1""",Record: 32-22-0,http://ufcstats.com/fighter-details/ec33146e43e58933,Professor X,Xavier Foupa-Pokam
0.0,0%,0%,0.00,0%,0.00,0%,0.00,--,,--,170 lbs.,"5' 11""",Record: 2-0-0,http://ufcstats.com/fighter-details/d745d4146be48679,,Mason Fowler
0.0,0%,0%,0.00,50%,4.59,32%,1.33,"Apr 28, 1979",Orthodox,--,145 lbs.,"5' 11""",Record: 18-4-0,http://ufcstats.com/fighter-details/f65a0eb902f9476b,,Brandon Foxworth
2.4,37%,36%,1.53,55%,2.85,39%,1.78,"Aug 26, 1974",Orthodox,"71""",155 lbs.,"5' 6""",Record: 24-17-0 (1 NC),http://ufcstats.com/fighter-details/e0ec3c3b6b611f7e,,Hermes Franca
0.3,76%,42%,2.68,47%,3.46,42%,2.35,"Feb 28, 1991",Orthodox,"77""",155 lbs.,"6' 0""",Record: 15-5-0,http://ufcstats.com/fighter-details/00a3ff40c4b2cf21,Nego,Glaico Franca Moreira
6.1,0%,0%,0.00,27%,3.51,33%,0.54,"Jan 21, 1983",,--,205 lbs.,"6' 0""",Record: 13-5-1,http://ufcstats.com/fighter-details/ecfdbf38681a59ba,Kiko,Francisco France
0.3,40%,80%,2.68,48%,2.59,48%,1.83,"Jul 16, 1982",Orthodox,"67""",145 lbs.,"5' 6""",Record: 6-2-0,http://ufcstats.com/fighter-details/b9532d815060de7f,,John Franchi
0.7,63%,66%,1.31,62%,2.07,44%,4.10,"Oct 05, 1974",Southpaw,"76""",185 lbs.,"6' 1""",Record: 29-7-0 (1 NC),http://ufcstats.com/fighter-details/d897897060f10a3a,Ace,Rich Franklin
0.0,57%,0%,0.00,53%,1.64,31%,0.77,--,Orthodox,--,135 lbs.,"5' 4""",Record: 13-5-0,http://ufcstats.com/fighter-details/040d3b4c735541aa,Warrior Princess,Zoila Frausto
0.0,0%,0%,0.00,60%,3.57,21%,1.43,"Sep 20, 1990",Orthodox,"61""",115 lbs.,"5' 2""",Record: 8-7-0,http://ufcstats.com/fighter-details/fee02819a271c050,Lil Bovy,Stephanie Frausto
0.0,0%,0%,0.00,0%,0.00,0%,0.00,--,Orthodox,--,250 lbs.,"6' 5""",Record: 4-11-0,http://ufcstats.com/fighter-details/d3711d3784b76255,Nasty,Zane Frazier
0.0,100%,0%,0.00,46%,2.77,39%,1.50,--,Orthodox,--,245 lbs.,"6' 0""",Record: 3-3-0,http://ufcstats.com/fighter-details/3beeeafcbc8b4cbc,,Gary Frazier
0.0,0%,0%,0.00,4%,6.11,66%,1.11,"Jun 15, 1989",Southpaw,"75""",265 lbs.,"6' 0""",Record: 10-3-0,http://ufcstats.com/fighter-details/78863e4a28204a6b,The Grizzly Bear,Justin Frazier
0.7,80%,40%,1.44,44%,3.11,48%,2.54,"Nov 10, 1966",Orthodox,--,225 lbs.,"5' 11""",Record: 20-7-1,http://ufcstats.com/fighter-details/b4bc2e3353a770b5,The Machine,Ian Freeman
0.0,0%,0%,0.00,0%,0.00,0%,0.00,"Sep 02, 1976",,--,225 lbs.,"6' 2""",Record: 6-4-0 (1 NC),http://ufcstats.com/fighter-details/5870bd1eadf4f322,,Jason Freeman
0.0,73%,100%,0.50,62%,0.93,37%,1.53,"Jul 28, 1987",,--,155 lbs.,"5' 8""",Record: 26-6-0,http://ufcstats.com/fighter-details/f1f37d667bcd0d27,Chiquerim,Willamy Freire
0.6,94%,18%,0.60,60%,4.43,41%,2.84,"Jul 07, 1987",,"65""",145 lbs.,"5' 5""",Record: 26-4-0,http://ufcstats.com/fighter-details/98a58c26c5b1ed17,Pitbull,Patricio Freire
0.0,100%,33%,1.26,69%,3.34,44%,3.06,"Jun 01, 1986",,"71""",155 lbs.,"5' 7""",Record: 17-8-0,http://ufcstats.com/fighter-details/90e6dde9113830bd,Pitbull,Patricky Freire
1.9,33%,0%,0.00,19%,8.37,0%,0.00,--,,--,205 lbs.,"6' 1""",Record: 6-10-0,http://ufcstats.com/fighter-details/a47e9ec288c91067,,Jeremy  Freitag
0.0,0%,50%,11.25,51%,8.00,29%,2.00,--,Orthodox,--,205 lbs.,--,Record: 3-6-0 (1 NC),http://ufcstats.com/fighter-details/14b9e0f2679a2205,Capoeira,Rafael Freitas
0.0,26%,100%,1.00,52%,3.20,27%,2.40,"Jan 20, 1985",Orthodox,--,135 lbs.,"5' 7""",Record: 6-3-0,http://ufcstats.com/fighter-details/9aa56f004b2bca07,,Donavon Frelow
0.7,26%,50%,0.72,36%,2.79,50%,2.64,"Jan 15, 1994",Orthodox,"76""",185 lbs.,"6' 4""",Record: 9-4-0,http://ufcstats.com/fighter-details/ca43de99b07b6b40,,Josh Fremd
0.0,100%,0%,0.00,16%,1.27,50%,1.52,"Oct 07, 1980",Southpaw,--,161 lbs.,"5' 7""",Record: 19-7-0,http://ufcstats.com/fighter-details/73321668ff977f1b,,Clay French
1.0,22%,0%,0.00,42%,2.17,23%,0.23,"May 29, 1975",,--,145 lbs.,"5' 10""",Record: 9-10-0,http://ufcstats.com/fighter-details/756f45905fb20cb5,,Mike French
1.0,42%,37%,2.39,59%,3.49,41%,3.46,"Jun 11, 1990",Orthodox,"71""",155 lbs.,"5' 9""",Record: 10-3-1,http://ufcstats.com/fighter-details/dccb63727f2f5f74,The SteamRolla,Matt Frevola
0.4,88%,33%,0.61,52%,4.23,44%,3.17,"May 20, 1985",Southpaw,"65""",115 lbs.,"5' 3""",Record: 11-8-0,http://ufcstats.com/fighter-details/d05cb1e8d1b885d8,,Jinh Yu Frey
0.0,0%,0%,0.00,0%,0.00,0%,0.00,"Sep 07, 1991",,--,185 lbs.,"5' 10""",Record: 11-0-0,http://ufcstats.com/fighter-details/ee704df0afd74558,,Artem Frolov
0.0,53%,0%,0.00,55%,2.57,52%,4.52,"Apr 14, 1987",Southpaw,"69""",125 lbs.,"5' 6""",Record: 9-2-0,http://ufcstats.com/fighter-details/1641ef250e9de19b,A Treta,Sarah Frota
0.7,45%,57%,0.91,37%,3.57,64%,2.87,"Nov 23, 1965",Orthodox,--,219 lbs.,"6' 1""",Record: 20-9-1 (1 NC),http://ufcstats.com/fighter-details/271fe91f4ba9d2c5,The Predator,Don Frye
0.5,66%,0%,0.00,43%,6.50,39%,3.49,"Mar 26, 1971",Orthodox,--,185 lbs.,"6' 0""",Record: 14-9-1,http://ufcstats.com/fighter-details/253de74457bd6374,The Freak,Tony Fryklund
0.0,100%,12%,1.35,45%,7.44,56%,5.74,"Jan 12, 1989",Southpaw,"77""",170 lbs.,"6' 1""",Record: 8-3-0,http://ufcstats.com/fighter-details/a01a62132460a98d,,Adam Fugitt
0.0,25%,0%,0.00,38%,4.91,33%,1.03,"Jan 28, 1983",Southpaw,--,225 lbs.,"6' 4""",Record: 2-2-0,http://ufcstats.com/fighter-details/c3c38c86f5ab9b5c,The Ronin,Jesse Fujarczyk
2.1,50%,25%,2.14,64%,4.43,50%,4.00,"Aug 15, 1972",Orthodox,--,205 lbs.,"6' 0""",Record: 9-18-1,http://ufcstats.com/fighter-details/d71d968dc6ecfdaf,Shamoji,Katsuhisa Fujii
12.0,0%,0%,0.00,100%,0.00,42%,2.40,"Apr 26, 1974",,--,113 lbs.,"5' 3""",Record: 26-3-0,http://ufcstats.com/fighter-details/fb6c531726447ff3,Mega Megu,Megumi Fujii
0.6,85%,36%,2.78,52%,1.99,49%,1.05,"Oct 16, 1970",Orthodox,--,235 lbs.,"6' 0""",Record: 15-12-0,http://ufcstats.com/fighter-details/b1605ea39fba6af6,Ironhead,Kazuyuki Fujita
2.5,23%,0%,0.00,47%,1.20,44%,0.73,--,Switch,--,139 lbs.,"5' 6""",Record: 17-12-5,http://ufcstats.com/fighter-details/ccd58ff71e260ed5,,Keisuke Fujiwara
0.0,70%,43%,2.17,64%,3.71,43%,4.24,"Jan 06, 1981",Southpaw,"73""",185 lbs.,"6' 0""",Record: 24-9-0 (1 NC),http://ufcstats.com/fighter-details/7c35f869033901ae,,Riki Fukuda
0.0,69%,33%,0.47,54%,3.50,32%,2.46,"Oct 06, 1986",Orthodox,"70""",145 lbs.,"5' 10""",Record: 11-7-0,http://ufcstats.com/fighter-details/4638cc6479cc0afe,Lobo,Masio Fullen
0.0,0%,0%,0.00,0%,0.00,0%,0.00,"May 29, 1977",Orthodox,--,240 lbs.,"6' 0""",Record: 253-53-10 (1 NC),http://ufcstats.com/fighter-details/911fb265462f0d94,The Ironman,Travis Fulton
0.0,0%,0%,0.00,0%,0.00,0%,0.00,--,,--,--,--,Record: 0-2-0,http://ufcstats.com/fighter-details/1f5f75658551f2d3,,Sam Fulton
5.5,0%,0%,0.00,35%,2.92,68%,1.82,"Mar 13, 1969",Southpaw,--,185 lbs.,"6' 0""",Record: 39-13-2,http://ufcstats.com/fighter-details/aa3153a9941b4d44,,Masakatsu Funaki
0.0,60%,18%,1.24,40%,3.57,65%,2.61,"Aug 14, 1980",Southpaw,"74""",170 lbs.,"5' 10""",Record: 9-6-0,http://ufcstats.com/fighter-details/e9e1acc96536bb4f,Golden Boy,Ricardo Funch
3.0,0%,0%,0.00,39%,2.67,10%,0.27,"Nov 10, 1980",,--,168 lbs.,"6' 0""",Record: 1-1-0,http://ufcstats.com/fighter-details/c3e2eca94b2320bc,,Katsuaki Furuki
0.0,0%,0%,0.00,0%,0.00,0%,0.00,--,,--,178 lbs.,--,Record: 6-4-0,http://ufcstats.com/fighter-details/fcd8b623892b9a10,,James Gabert
0.0,50%,0%,0.00,46%,4.26,65%,4.06,"Apr 01, 1994",Orthodox,--,125 lbs.,"5' 6""",Record: 13-1-0,http://ufcstats.com/fighter-details/fe98f86284a6eeb3,,Gustavo Gabriel
0.7,58%,42%,3.03,57%,4.57,41%,3.31,"Dec 07, 1988",Orthodox,"63""",115 lbs.,"5' 4""",Record: 18-5-0,http://ufcstats.com/fighter-details/ec34349e7dffcde7,Claudinha,Claudia Gadelha
0.0,50%,0%,0.00,57%,0.99,27%,0.99,"Jun 23, 1982",Orthodox,--,185 lbs.,"6' 2""",Record: 18-13-1,http://ufcstats.com/fighter-details/a7a79b8efbceaaac,,Alavutdin Gadjiev
0.0,75%,0%,0.00,55%,7.85,60%,7.46,"Nov 14, 1988",Orthodox,"70""",155 lbs.,"5' 11""",Record: 23-4-0,http://ufcstats.com/fighter-details/9e8f6c728eb01124,The Highlight,Justin Gaethje
0.0,20%,0%,0.00,28%,2.89,50%,1.60,"Dec 29, 1989",Orthodox,--,135 lbs.,"5' 5""",Record: 9-7-0,http://ufcstats.com/fighter-details/837d30395faca41e,The German Tank,Sheila Gaff
0.0,100%,41%,5.00,39%,3.13,47%,2.07,"May 17, 1996",Southpaw,"68""",135 lbs.,"5' 7""",Record: 17-4-0,http://ufcstats.com/fighter-details/a54660deb6a8489c,Tajik,Muin Gafurov
1.9,65%,25%,1.16,61%,2.21,46%,2.76,"Oct 10, 1984",Southpaw,"65""",135 lbs.,"5' 5""",Record: 12-5-0,http://ufcstats.com/fighter-details/b8592b4a383696cd,,Mitch Gagnon
0.0,0%,0%,0.00,0%,0.00,0%,0.00,--,,--,185 lbs.,"6' 3""",Record: 5-21-0,http://ufcstats.com/fighter-details/8e6cfbd455f0f9c2,,Brandon Gaines
1.3,0%,25%,1.33,48%,3.45,40%,2.21,"May 18, 1981",Orthodox,--,170 lbs.,"6' 0""",Record: 18-7-0,http://ufcstats.com/fighter-details/06dc1a58663579d2,The Gladiator,Travis Galbraith
2.0,14%,0%,0.00,33%,0.53,69%,1.67,"Jan 12, 1978",Orthodox,--,135 lbs.,"5' 11""",Record: 5-1-0,http://ufcstats.com/fighter-details/0876d21328cf4a45,Scarecrow,Dave Galera
1.3,20%,100%,1.30,66%,0.61,62%,4.86,"Feb 16, 1979",Orthodox,--,185 lbs.,"6' 2""",Record: 11-9-0,http://ufcstats.com/fighter-details/8a1b4330c7957961,Benkei,Zelg Galesic
1.9,36%,30%,1.21,49%,4.25,46%,2.94,"Jan 22, 1992",Switch,"74""",170 lbs.,"6' 2""",Record: 7-5-0,http://ufcstats.com/fighter-details/9e50097a89442158,,Mickey Gall
0.0,0%,0%,0.00,52%,6.00,41%,3.10,--,,--,265 lbs.,"6' 5""",Record: 7-3-0,http://ufcstats.com/fighter-details/96706c75a2b14164,Big Kansas,Daniel Gallemore
0.0,0%,11%,1.00,43%,7.07,26%,3.53,"Sep 23, 1986",Southpaw,--,170 lbs.,"5' 10""",Record: 19-10-0,http://ufcstats.com/fighter-details/cc81c92fe2254935,Da Tank,Tom Gallicchio
0.0,0%,0%,0.00,0%,0.00,0%,0.00,--,,--,145 lbs.,"5' 3""",Record: 8-6-0,http://ufcstats.com/fighter-details/7e654edcddd71550,,Turrell Galloway
0.0,0%,0%,0.00,0%,0.00,0%,0.00,--,,--,155 lbs.,--,Record: 0-0-0,http://ufcstats.com/fighter-details/ad3fdba28a7540cf,,Eric Galvan
2.8,0%,27%,2.02,58%,1.56,52%,2.34,"Sep 29, 1982",Orthodox,--,168 lbs.,"5' 7""",Record: 5-2-0,http://ufcstats.com/fighter-details/45fe6765c56d8018,,Andre Galvao
1.1,88%,28%,2.27,61%,3.86,32%,1.97,"Jun 23, 1981",Orthodox,--,135 lbs.,"5' 7""",Record: 18-8-1,http://ufcstats.com/fighter-details/e15d0a2519d6a0b5,Loro,Marcos Galvao
0.0,0%,0%,0.00,45%,6.99,31%,7.57,--,,--,170 lbs.,--,Record: 8-4-0,http://ufcstats.com/fighter-details/289a3b69b85da7cd,,Lucas Gamaza
0.8,42%,0%,0.00,51%,2.53,35%,2.47,"Oct 26, 1988",Orthodox,--,145 lbs.,"5' 7""",Record: 9-2-0,http://ufcstats.com/fighter-details/10559c53de0b950e,The Raging Warrior,Joey Gambino
0.7,69%,34%,3.26,55%,2.83,41%,2.13,"May 08, 1981",Orthodox,"67""",135 lbs.,"5' 5""",Record: 15-10-0 (1 NC),http://ufcstats.com/fighter-details/cc6f9d1e89f3449a,The Anvil,Manvel Gamburyan
0.2,90%,31%,4.66,61%,3.34,49%,3.26,"Dec 11, 1990",Southpaw,"70""",155 lbs.,"5' 10""",Record: 21-2-0 (1 NC),http://ufcstats.com/fighter-details/72db2a14ffa73ece,Gamer,Mateusz Gamrot
0.0,50%,0%,0.00,51%,3.46,48%,5.35,"Aug 09, 1990",Orthodox,"76""",205 lbs.,"6' 2""",Record: 14-1-0,http://ufcstats.com/fighter-details/0d980975001ae3d8,,Shamil Gamzatov
0.0,0%,66%,1.88,72%,2.07,23%,1.95,"May 07, 1968",Orthodox,--,205 lbs.,"5' 11""",Record: 7-9-0 (1 NC),http://ufcstats.com/fighter-details/41904fc4d3f5bffc,,Ariel Gandulla
0.5,55%,21%,0.62,62%,2.25,59%,5.11,"Apr 12, 1990",Orthodox,"81""",245 lbs.,"6' 4""",Record: 11-1-0,http://ufcstats.com/fighter-details/787bb1f087ccff8a,Bon Gamin,Ciryl Gane
0.0,50%,0%,0.00,28%,6.38,0%,0.00,--,Southpaw,--,265 lbs.,"6' 3""",Record: 2-1-0,http://ufcstats.com/fighter-details/6d7886b094b471ac,The Cannon,Sean Gannon
0.0,61%,100%,0.48,58%,2.36,51%,3.42,"May 28, 1989",Orthodox,"70""",145 lbs.,"5' 9""",Record: 13-2-0,http://ufcstats.com/fighter-details/7bde387d50829adf,,Eduardo Garagorri
0.0,83%,30%,1.02,60%,4.22,38%,3.16,"Jul 07, 1991",Orthodox,"65""",135 lbs.,"5' 8""",Record: 12-5-0,http://ufcstats.com/fighter-details/d8c7c61b176e3994,No Love,Cody Garbrandt
0.5,42%,26%,0.30,52%,4.79,24%,2.77,"Jul 14, 1979",Orthodox,"68""",145 lbs.,"5' 10""",Record: 18-13-1,http://ufcstats.com/fighter-details/917e53fa0adea0d3,Bad Boy,Leonard Garcia
0.6,50%,57%,2.21,60%,4.23,29%,3.16,"Feb 22, 1984",Orthodox,"71""",170 lbs.,"5' 10""",Record: 14-5-0,http://ufcstats.com/fighter-details/8d49545dadf9b919,,Edgar Garcia
0.0,66%,87%,8.55,65%,1.14,62%,1.22,--,,--,145 lbs.,"5' 7""",Record: 14-10-0 (1 NC),http://ufcstats.com/fighter-details/e5dc36e0aba7e9da,Alex,Alejandro Garcia
0.1,66%,52%,3.72,59%,3.03,31%,1.81,"Jul 14, 1987",Orthodox,"72""",170 lbs.,"5' 9""",Record: 15-6-0,http://ufcstats.com/fighter-details/a2b12c3f3d60ff69,The Dominican Nightmare,Alex Garcia
5.1,83%,0%,0.00,50%,3.03,25%,0.67,--,,--,125 lbs.,"5' 4""",Record: 8-3-0 (1 NC),http://ufcstats.com/fighter-details/8a04d94dfcfab159,Nitro,Nick Garcia
0.4,100%,44%,1.76,46%,2.52,57%,5.15,"May 22, 1992",Southpaw,"75""",145 lbs.,"6' 0""",Record: 13-5-0,http://ufcstats.com/fighter-details/97cf1a2c7c5e7889,Mean Machine,Steve Garcia
1.4,33%,14%,0.68,50%,5.05,27%,1.59,"Sep 13, 1992",Southpaw,"67""",125 lbs.,"5' 5""",Record: 6-2-0,http://ufcstats.com/fighter-details/ac5a7400da3a9a41,,Elias Garcia
0.4,76%,42%,3.87,53%,4.75,38%,3.26,"Aug 05, 1994",Orthodox,"70""",155 lbs.,"5' 7""",Record: 14-3-0,http://ufcstats.com/fighter-details/e132d47bd9efbbe0,Gifted,Rafa Garcia
0.0,60%,0%,0.00,57%,4.19,36%,2.85,"Apr 12, 1992",Orthodox,"67""",135 lbs.,"5' 7""",Record: 10-2-0,http://ufcstats.com/fighter-details/9e92e1ca498d7244,,Fernie Garcia
0.0,100%,100%,0.75,60%,1.45,25%,2.05,"Aug 16, 1971",Orthodox,--,265 lbs.,"6' 3""",Record: 1-0-0,http://ufcstats.com/fighter-details/4f7e290e71d60f87,,Rulon Gardner
0.0,66%,0%,0.00,0%,0.34,100%,0.17,"May 17, 1977",Orthodox,--,155 lbs.,"5' 11""",Record: 18-21-0,http://ufcstats.com/fighter-details/70167689d6a01793,,David Gardner
0.0,75%,50%,0.43,52%,4.34,56%,5.95,"Nov 17, 1997",Orthodox,"74""",170 lbs.,"6' 3""",Record: 10-0-0,http://ufcstats.com/fighter-details/442c9011034ae1fd,The Future,Ian Garry
1.3,15%,25%,0.94,50%,2.70,44%,3.37,"Sep 16, 1983",Orthodox,"73""",145 lbs.,"6' 1""",Record: 12-4-0,http://ufcstats.com/fighter-details/8e5bfd4e82352340,The Scarecrow,Pablo Garza
0.0,0%,25%,1.69,53%,4.75,21%,1.24,"Apr 07, 1990",Orthodox,--,125 lbs.,"5' 6""",Record: 8-3-0,http://ufcstats.com/fighter-details/a1b0715c4fd2dbd3,,Azamat Gashimov
0.0,42%,0%,0.00,44%,3.65,26%,0.34,"Aug 07, 1972",Orthodox,--,170 lbs.,"6' 1""",Record: 29-20-2 (1 NC),http://ufcstats.com/fighter-details/e4770d5ed44a3970,,Brian Gassaway
0.1,62%,32%,1.05,57%,3.24,41%,3.53,"Oct 24, 1991",Southpaw,"71""",185 lbs.,"5' 9""",Record: 17-8-0 (1 NC),http://ufcstats.com/fighter-details/8c0580d4fff106c1,,Kelvin Gastelum
0.4,67%,0%,0.00,38%,4.28,38%,1.80,"Jan 21, 1987",Orthodox,"72""",125 lbs.,"5' 8""",Record: 12-7-0,http://ufcstats.com/fighter-details/6ded9184b2284645,,Willie Gates
0.4,70%,33%,1.68,53%,2.60,51%,3.27,"May 02, 1996",Orthodox,"69""",125 lbs.,"5' 5""",Record: 8-1-2,http://ufcstats.com/fighter-details/a4a80dd7336ffd59,,Melissa Gatto
1.1,31%,40%,0.57,48%,6.42,37%,2.34,"Aug 28, 1984",Orthodox,"63""",125 lbs.,"5' 3""",Record: 8-4-0 (1 NC),http://ufcstats.com/fighter-details/b72a60a0cadff408,Goodnight,Louis Gaudinot
0.0,0%,0%,0.00,0%,0.00,0%,0.00,"Jul 23, 1997",Switch,--,155 lbs.,"5' 8""",Record: 7-0-0,http://ufcstats.com/fighter-details/618643d0d5c0631d,,Manuel Gaxhja
1.7,0%,0%,0.00,43%,3.24,42%,2.01,--,,--,125 lbs.,"5' 2""",Record: 0-4-0,http://ufcstats.com/fighter-details/effd0b70e6749ab2,Princess,Charlene Gellner
1.3,0%,46%,3.08,65%,1.11,50%,1.26,"Apr 30, 1982",Southpaw,"68""",135 lbs.,"5' 6""",Record: 16-8-0,http://ufcstats.com/fighter-details/14e797332ea32cdb,Savage,Chad George
0.0,0%,0%,0.00,35%,2.34,40%,2.55,"Sep 22, 1982",Orthodox,--,170 lbs.,"6' 2""",Record: 6-2-0,http://ufcstats.com/fighter-details/2f1700b3a4a09bc7,,Paul Georgieff
0.0,50%,0%,0.00,36%,9.77,25%,0.47,"Nov 04, 1980",Orthodox,--,155 lbs.,"5' 7""",Record: 26-18-1,http://ufcstats.com/fighter-details/15edcf67ccf5be84,Duke,Brian Geraghty
0.0,0%,0%,0.00,0%,0.00,0%,0.00,--,,--,155 lbs.,"6' 0""",Record: 8-5-0,http://ufcstats.com/fighter-details/42883268854b78be,The Pretzel,Derek Getzel
0.0,0%,0%,0.00,76%,1.80,20%,1.20,"Mar 09, 1989",,"63""",125 lbs.,"5' 4""",Record: 3-3-0,http://ufcstats.com/fighter-details/2db0c114414d4f06,The Princess,Karine Gevorgyan
0.0,0%,0%,0.00,0%,0.00,0%,0.00,--,Orthodox,--,194 lbs.,"5' 8""",Record: 5-6-0,http://ufcstats.com/fighter-details/a24e080000fa7a35,,Darrel Gholar
0.0,61%,50%,0.41,58%,2.94,46%,2.78,"Feb 09, 1977",Orthodox,--,170 lbs.,"5' 10""",Record: 10-7-1,http://ufcstats.com/fighter-details/cb6783c39c01d896,,Tiki Ghosn
0.4,52%,41%,3.21,48%,2.87,41%,2.81,"Jan 23, 1990",Orthodox,"71""",155 lbs.,"5' 10""",Record: 19-10-0,http://ufcstats.com/fighter-details/de45aaae23dfa392,The Spartan,Christos Giagos
0.0,0%,16%,1.00,40%,2.80,38%,1.93,"Jul 05, 1995",Southpaw,"74""",155 lbs.,"6' 0""",Record: 6-1-0,http://ufcstats.com/fighter-details/946db8a378903cc3,,Joe Giannetti
0.0,0%,0%,0.00,0%,0.00,0%,0.00,--,,--,155 lbs.,"5' 10""",Record: 2-1-0,http://ufcstats.com/fighter-details/96a221341035b701,,Nick Gibbons
0.0,0%,0%,0.00,39%,7.08,27%,1.20,"Jan 06, 1978",Orthodox,--,170 lbs.,"5' 11""",Record: 13-5-0,http://ufcstats.com/fighter-details/f74e037b97917027,,James Giboo
0.0,0%,0%,0.00,20%,6.44,75%,1.21,"Nov 20, 1970",Orthodox,--,185 lbs.,"5' 9""",Record: 4-5-0,http://ufcstats.com/fighter-details/63eedfcc73071d41,Fearless,Lance Gibson
0.0,0%,0%,0.00,0%,0.00,0%,0.00,--,,--,155 lbs.,"5' 7""",Record: 12-4-0,http://ufcstats.com/fighter-details/69db199087a1a792,Lethal,Lee Gibson
